Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,
2010,3,201003,Port Macquarie,Sydney,Port Macquarie - Sydney,158,188.5378151,,,,
2010,3,201003,Sydney,Tamworth,Sydney - Tamworth,190,226.7226891,,,,
2010,3,201003,Sydney,Townsville,Sydney - Townsville,228,272.0672269,,,,
2010,3,201003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,255.3613445,,,,
2010,3,201003,Newcastle,Gold Coast,Newcastle - Gold Coast,154,183.7647059,,,,
2010,4,201004,Adelaide,Brisbane,Adelaide - Brisbane,198,234.7891441,,,,
2010,4,201004,Adelaide,Canberra,Adelaide - Canberra,224,265.6200418,,,,
2010,4,201004,Adelaide,Darwin,Adelaide - Darwin,348,412.6597077,,,,
2010,4,201004,Adelaide,Gold Coast,Adelaide - Gold Coast,127,150.5970772,,,,
2010,4,201004,Adelaide,Melbourne,Adelaide - Melbourne,38,45.0605428,,,,
2010,4,201004,Adelaide,Perth,Adelaide - Perth,298,353.3695198,,,,
2010,4,201004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.76,210.788476,,,,
2010,4,201004,Adelaide,Sydney,Adelaide - Sydney,116,137.5532359,,,,
2010,4,201004,Albury,Sydney,Albury - Sydney,118,139.9248434,,,,
2010,4,201004,Alice Springs,Darwin,Alice Springs - Darwin,508,602.388309,,,,
2010,4,201004,Alice Springs,Melbourne,Alice Springs - Melbourne,186,220.559499,,,,
2010,4,201004,Alice Springs,Sydney,Alice Springs - Sydney,538,637.9624217,,,,
2010,4,201004,Avalon,Brisbane,Avalon - Brisbane,198,234.7891441,,,,
2010,4,201004,Avalon,Sydney,Avalon - Sydney,78,92.49269311,,,,
2010,4,201004,Ayers Rock,Cairns,Ayers Rock - Cairns,808,958.1294363,,,,
2010,4,201004,Ayers Rock,Sydney,Ayers Rock - Sydney,638,756.5427975,,,,
2010,4,201004,Ballina,Sydney,Ballina - Sydney,158,187.3569937,,,,
2010,4,201004,Brisbane,Cairns,Brisbane - Cairns,218,258.5052192,,,,
2010,4,201004,Brisbane,Canberra,Brisbane - Canberra,198,234.7891441,,,,
2010,4,201004,Brisbane,Darwin,Brisbane - Darwin,258,305.9373695,,,,
2010,4,201004,Brisbane,Emerald,Brisbane - Emerald,246,291.7077244,,,,
2010,4,201004,Brisbane,Gladstone,Brisbane - Gladstone,182,215.8162839,,,,
2010,4,201004,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,163.6409186,,,,
2010,4,201004,Brisbane,Hobart,Brisbane - Hobart,358,424.5177453,,,,
2010,4,201004,Brisbane,Mackay,Brisbane - Mackay,148.95,176.6254697,,,,
2010,4,201004,Brisbane,Melbourne,Brisbane - Melbourne,158,187.3569937,,,,
2010,4,201004,Brisbane,Mount Isa,Brisbane - Mount Isa,544,645.0772443,,,,
2010,4,201004,Brisbane,Perth,Brisbane - Perth,404,479.0647182,,,,
2010,4,201004,Brisbane,Proserpine,Brisbane - Proserpine,138,163.6409186,,,,
2010,4,201004,Brisbane,Rockhampton,Brisbane - Rockhampton,88,104.3507307,,,,
2010,4,201004,Brisbane,Sydney,Brisbane - Sydney,138,163.6409186,,,,
2010,4,201004,Brisbane,Townsville,Brisbane - Townsville,148,175.4989562,,,,
2010,4,201004,Brisbane,Newcastle,Brisbane - Newcastle,78,92.49269311,,,,
2010,4,201004,Broome,Perth,Broome - Perth,298,353.3695198,,,,
2010,4,201004,Bundaberg,Brisbane,Bundaberg - Brisbane,170,201.5866388,,,,
2010,4,201004,Cairns,Melbourne,Cairns - Melbourne,378.95,449.360334,,,,
2010,4,201004,Cairns,Sydney,Cairns - Sydney,258,305.9373695,,,,
2010,4,201004,Cairns,Townsville,Cairns - Townsville,98,116.2087683,,,,
2010,4,201004,Canberra,Melbourne,Canberra - Melbourne,57,67.5908142,,,,
2010,4,201004,Canberra,Sydney,Canberra - Sydney,98,116.2087683,,,,
2010,4,201004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,148,175.4989562,,,,
2010,4,201004,Darwin,Melbourne,Darwin - Melbourne,328,388.9436326,,,,
2010,4,201004,Darwin,Perth,Darwin - Perth,298,353.3695198,,,,
2010,4,201004,Darwin,Sydney,Darwin - Sydney,438,519.3820459,,,,
2010,4,201004,Devonport,Melbourne,Devonport - Melbourne,198,234.7891441,,,,
2010,4,201004,Dubbo,Sydney,Dubbo - Sydney,247.22,293.154405,,,,
2010,4,201004,Geraldton,Perth,Geraldton - Perth,277,328.4676409,,,,
2010,4,201004,Gold Coast,Sydney,Gold Coast - Sydney,57,67.5908142,,,,
2010,4,201004,Hamilton Island,Sydney,Hamilton Island - Sydney,238,282.2212944,,,,
2010,4,201004,Hervey Bay,Sydney,Hervey Bay - Sydney,230,272.7348643,,,,
2010,4,201004,Hobart,Melbourne,Hobart - Melbourne,56,66.40501044,,,,
